airline,origin_airport,Stopover_Airport,destination_airport,Origin_Departure_Delay,Stopover_Arrival_Delay,Stopover_Departure_Delay,Destination_Arrival_Delay
DL,SFO,LAX,LAX,28,12,-1,-26
VX,SFO,LAS,LAS,9,10,0,-17
B6,SFO,LGB,LGB,6,-5,42,31
AA,SFO,CLT,CLT,-5,-16,33,29
AA,SFO,CLT,CLT,-1,-3,6,2
DL,SFO,LAX,LAX,10,-2,0,-20
DL,SFO,LAX,LAX,-5,-14,3,-19
B6,SFO,LAS,LAS,2,-10,6,-8
DL,SFO,LAX,LAX,-3,2,0,-15
DL,SFO,LAX,LAX,-3,2,1,-15
AA,SFO,DFW,DFW,-2,-22,2,-24
AA,SFO,ORD,ORD,-1,-7,42,9
AA,SFO,CLT,CLT,-3,-5,51,49
AA,SFO,CLT,CLT,-3,-1,7,19
DL,SFO,LAX,LAX,14,9,22,-4
DL,SFO,SLC,SLC,295,281,2,-11
